1|Maybe you should have chosen a later time because clearly you don't want to get up.
2|Activated!
3|I've noticed we're not connected to a network. For me to operate at full capacity, please activate the Wi-Fi settings on your device.
4|Accessing alarm and interface settings. In this window, you can set up your customized greetings and alarm preferences.
5|Should you need anything, you need only ask.
6|Remember, I am a voice activated system.
7|Your device is not at full power!
8|Though it isn't quite an Arc reactor, this power source should suffice.
9|Calibrating settings, and playback.
10|Your device is running low on power.
11|Your device is now running at dangerously low power levels.
12|We are now running on emergency backup power.
13|Adjusting display.
14|Accessing bonus features.
15|Calibrating settings, and playback.
16|Accessing deleted scenes.
17|playback initiated.
18|Disabling voice commands during playback.
19|Languages.
20|Pausing playback.
21|Popus menu accessed.
22|The seccings are now available.
23|Setup.
24|Deactivating subtitles.
25|Activating subtitles.
26|Top menu accessed.
caged_camera_off|Camera disabled.
caged_camera_on|Camera activated.
caged_clock_accessing_0|Accessing alarm and interface settings in this window, you can set up your customized greetings and alarm preferences.
caged_clock_accessing_1|Accessing chronographic display.
caged_clock_afternoon|Still plenty of time left in the day. Please make the most of it.
caged_clock_alarm_am_or_pm|Please indicate a time- in AM or PM.
caged_clock_alarm_cancelled_0|Alarm cancelled.
caged_clock_alarm_daily|Daily it is!
caged_clock_alarm_set_0|Alarm set for
caged_clock_alarm_set_1|Thank you. The alarm is set.
caged_clock_alarm_snooze_0|Enjoy your delay of the inevitable.
caged_clock_alarm_snooze_1|Evasive maneuvers initiated.
caged_clock_alarm_snooze_2|The world needs your expertise, or at least your presence.
caged_clock_alarm_snooze_3|We appear to be at an impasse. You wish to sleep, but it is my duty to wake you.
caged_clock_alarm_snooze_4|Amplt time to prepare for your scheduled event, one hopes.
caged_clock_alarm_snooze_5|We appear to be at an impasse.
caged_clock_alarm_snooze_6|This is my third attept to wake you. Perhaps I should cancel the alarm.
caged_clock_alarm_snooze_7|Maybe you should have chosen a later time because clearly you don't want to get up.
caged_clock_alarm_wake_0|I am afraid your time to rest is at an end.
caged_clock_alarm_wake_1|I mush insist that you wake up.
caged_clock_alarm_wake_2_m|Please wake up maam!
caged_clock_alarm_wake_2_s|Please wake up sir!
caged_clock_alarm_wake_3|Here's some music to start your day.
caged_clock_alarm_wake_4|I apologize for the disturbance, but it is time to wake up.
caged_clock_alarm_wake_5|As requested, here's my attempt to wake you.
caged_clock_alarm_weekdays|Weekdays it is!
caged_clock_am|A.M.
caged_clock_help|Accessing chronographic display.
caged_clock_late_0|If you're having trouble sleeping, might I suggest a soothing herbal tea?
caged_clock_late_1|Hopefully, you're enjoying a night on the town. Please let me know if I can be of any assistance.
caged_clock_late_2_m|I see that we're burning the midnight oil, don't work too hard maam.
caged_clock_late_2_s|I see that we're burning the midnight oil, don't work too hard sir.
caged_clock_noon|Noon.
caged_clock_oclock|O'clock.
caged_clock_pm|P.M.
caged_clock_reminder_alert_0|There is a matter that requires your immediate attention.
caged_clock_reminder_alert_1|May I remind you, that you have a meeting to attend.
caged_clock_reminder_alert_2|There is an on screen alert.
caged_clock_reminder_alert_3|your presence is requested. It's nice to be needed.
caged_clock_reminder_alert_4|Per your request, here is your reminder.
caged_clock_reminder_alert_5|I know you're busy, however, here is your reminder.
caged_clock_reminder_alert_6|I recall you asking me to remind you about something important. But I can't recall. 
caged_clock_reminder_alert_7|Here is your reminder. Have a wonderful day.
caged_clock_reminder_off|Reminder cancelled.
caged_clock_reminder_set_0|Reminder set for
caged_clock_reminder_set_1|Thank you. The reminder is set.
caged_clock_time_0|The time is now
caged_clock_time_1|It is
caged_commands_show_alt|Launching a series of displays to help guide you. I am not used to the technical specifications of this device, but I will do my best.
caged_confirm_0_m|Very good, maam.
caged_confirm_0_s|Very good, sir.
caged_confirm_10_m|For you maam, anything.
caged_confirm_10_s|For you sir, anything.
caged_confirm_11|A wise selection.
caged_confirm_1|Enjoy
caged_confirm_2|It would be my pleasure.
caged_confirm_3|An excellent choice.
caged_confirm_4|Affirmative.
caged_confirm_5|Initiatred.
caged_confirm_6|Done.
caged_confirm_7|Your input is greatly appreciated.
caged_confirm_8|Thank you so much for your request.
caged_confirm_9|As you wish.
caged_date_01|First
caged_date_02|Second
caged_date_03|Third
caged_date_04|Fourth
caged_date_05|Fifth
caged_date_06|Sixth
caged_date_07|Seventh
caged_date_08|Eighth
caged_date_09|Ninth
caged_date_10|Tenth
caged_date_11|Eleventh
caged_date_12|Twelfth
caged_date_13|Thirteenth
caged_date_14|Fourteenth
caged_date_15|Fifteenth
caged_date_16|Sixteenth
caged_date_17|Seventeenth
caged_date_18|Eighteenth
caged_date_19|Nineteenth
caged_date_20|Twentieth
caged_date_21|Twenty-first
caged_date_22|Twenty-second
caged_date_23|Twenty-third
caged_date_24|Twenty-fourth
caged_date_25|Twenty-fifth
caged_date_26|Twenty-sixth
caged_date_27|Twenty-seventh
caged_date_28|Twenty-eighth
caged_date_29|Twenty-ninth
caged_date_30|Thirtieth
caged_date_31|Thirty-first